   Step   Time    Walltime(s) Profile
      0   0.0000     0.0019   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     6.8113   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000    13.4806   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000    20.1413   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000    26.8037   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000    33.4644   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000    40.1271   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000    46.7879   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000    53.4484   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    60.1095   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    66.7701   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    73.4325   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    80.0933   ████████████████████████████████████████████████
 325000  65.0000    86.7539   ████████████████████████████████████████████████
 350000  70.0000    93.4150   ████████████████████████████████████████████████
 375000  75.0000   100.0768   ████████████████████████████████████████████████
 400000  80.0000   106.7377   ████████████████████████████████████████████████
 425000  85.0000   113.3982   ████████████████████████████████████████████████
 450000  90.0000   120.0606   ████████████████████████████████████████████████
 475000  95.0000   126.7215   ████████████████████████████████████████████████
 500000 100.0000   133.3823   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0020   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     3.6144   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     7.0838   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000    10.5488   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000    14.0168   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000    17.4837   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000    20.9518   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000    24.4199   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000    27.8852   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    31.3538   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    34.8256   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    38.2965   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    41.7672   ████████████████████████████████████████████████
 325000  65.0000    45.2382   ████████████████████████████████████████████████
 350000  70.0000    48.7089   ████████████████████████████████████████████████
 375000  75.0000    52.1796   ████████████████████████████████████████████████
 400000  80.0000    55.6513   ████████████████████████████████████████████████
 425000  85.0000    59.1215   ████████████████████████████████████████████████
 450000  90.0000    62.5917   ████████████████████████████████████████████████
 475000  95.0000    66.0607   ████████████████████████████████████████████████
 500000 100.0000    69.5308   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0022   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     2.5223   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     4.8837   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     7.2584   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     9.6311   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000    12.0004   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000    14.3733   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000    16.7428   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000    19.1123   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    21.4809   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    23.8481   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    26.2176   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    28.5859   ████████████████████████████████████████████████
 325000  65.0000    30.9552   ████████████████████████████████████████████████
 350000  70.0000    33.3250   ████████████████████████████████████████████████
 375000  75.0000    35.6936   ████████████████████████████████████████████████
 400000  80.0000    38.0672   ████████████████████████████████████████████████
 425000  85.0000    40.4358   ████████████████████████████████████████████████
 450000  90.0000    42.8046   ████████████████████████████████████████████████
 475000  95.0000    45.1752   ████████████████████████████████████████████████
 500000 100.0000    47.5435   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0020   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.8798   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     3.7300   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
